review_index,score,content_preview,detected_problems,keywords_found,problem_count
115,1,"tidak lengkap seperti asal kota yang saya sebutkan tidak ada, juga mengapa setiap melakukan aksi di ...","['Login_Authentication', 'Features_Functionality']","['masuk', 'tidak ada']",2
116,1,tahap 1 sampai 5 lancar tahap 6 bermasalah di nama dan nomer rekening bank sudah ganti nomor rekenin...,"['User_Interface', 'Features_Functionality', 'Customer_Service']","['ui', 'tidak ada', 'laporan']",3
117,1,banyak lowongan kerja fiktif dan penipuan di aplikasi ini. sekelas aplikasi kementerian loh banyak p...,['Other_Issues'],[],1
118,1,katanya udah di update ini saya gimana udah ngisi semua biodata dari 1-8 tapi yang ke 9 gak bisa di ...,"['Data_Sync', 'Installation_Update']","['data', 'update']",2
119,1,"aplikasi terburuk , setiap bulan bapak gua bayar pajak untuk pemerintah, tau tau pemerintah buat kem...",['Payment_Transaction'],['bayar'],1
120,1,jujur sangat membantu untuk para penganggiran dan pekerja lepas.tapi jujur untuk pelatihan kenapa ja...,['Other_Issues'],[],1
121,1,"parah di website, di apk sama saja tiap ingin daftar pelatihan selalu kembali ke dashboard. padahal ...",['Network_Connection'],['sinyal'],1
122,1,"apk nya banyak kekurangannya, saya mau ngeklaim jkp pas ngisi identitasnya pas pilih simpan malah lo...",['Performance_Speed'],"['loading', 'lag']",1
123,1,"25102024 ternyata review nya beneran jelek kaya yang lain, app lemot, akses pake aplikasi malah dire...","['Performance_Speed', 'Installation_Update']","['lemot', 'update']",2
124,1,"dari komen2 yang saya baca, banyak sekali yang mempermasalahkan masalah klaim bulan ke 6, banyak yan...","['Login_Authentication', 'Crashes_Errors', 'Customer_Service']","['login', 'masuk', 'gagal', 'bantuan']",3
125,1,"disruh dftar pke apk. apk nya aja ga siap untuk dipake, password salah terus padahal udah bener. gan...",['Login_Authentication'],['password'],1
126,1,"aplikasi nya gak pernah mengirimkan kode otp. mau login masuk, selalu gagal. padahal email dan passw...","['Login_Authentication', 'Crashes_Errors']","['login', 'masuk', 'password', 'gagal']",2
127,1,"kalau ada bintang dibawah satu pasti saya kasih bintang dibawah lagi, daftar dengan nik sudah benar ...","['Performance_Speed', 'Crashes_Errors', 'Installation_Update']","['lag', 'gagal', 'download']",3
128,1,kasih opsi untuk mendapatkan pekerjaan di daerah tempat kita tinggal kita udah lamar tapi status nya...,['Installation_Update'],['update'],1
129,1,"aplikasinya keluar masuk browser, mana lembaga pelatihan yang tidak lengkap selalu kembali ke menu u...","['Login_Authentication', 'User_Interface']","['masuk', 'menu']",2
130,1,aplikasi milik negara kok kayak gitu gak niat banget bikin aplikasi. masak daftar saja tidak bisa ka...,['Other_Issues'],[],1
131,1,"apk rusak, gabisa masuk dari seminggu yang lalu. selalu keluar sendiri setiap mau masuk apk, tolong ...","['Login_Authentication', 'Crashes_Errors']","['masuk', 'keluar sendiri', 'rusak']",2
132,1,layanan publik hadeh. sistemnya apk hadeh. masukin keyword posisi pengalaman kerja customer service ...,"['Login_Authentication', 'Features_Functionality', 'Customer_Service', 'Installation_Update']","['masuk', 'gak ada', 'ga ada', 'customer service', 'update']",4
133,1,"pertama kali saya komentari aplikasi di playstore ,seburik apapaun aplikasinya selemot apapun apliks...","['Login_Authentication', 'Performance_Speed']","['masuk', 'lemot']",2
134,1,pengajuan jkp ke-6 ditunda padahal misi sudah selesai. setelah diajukan klaim muncul keterangan sela...,"['Login_Authentication', 'Performance_Speed', 'Crashes_Errors', 'User_Interface']","['masuk', 'lambat', 'gagal', 'menu']",4
135,1,jaringan full cepet kencang tapi loading lama aplikasi banyak drama. kalo bisa rate bintang 0 gw mau...,"['Performance_Speed', 'Network_Connection']","['loading', 'jaringan']",2
136,1,"udh step terakhir buat verifikasi nama ibu, tp malah gk bisa. katanya nik nya udh kepake, perasaan s...",['Crashes_Errors'],['bug'],1
137,1,"sangat tidak membantu dalam proses verifikasi wajah,selalu eror tiap bulan dan respon admin nya lama...",['Other_Issues'],[],1
138,1,"maksudnya bagaimana, saya tidak bisa mengsakses akun saya tapi disuruh login akun buat ke pusat bant...","['Login_Authentication', 'Customer_Service']","['login', 'akun', 'bantuan']",2
139,1,mau pencarian yg ke 3 tiba tiba setatus berubah menjadi bekerja padahal belum.. 2 kali lapor ke kant...,['Features_Functionality'],['gak ada'],1
140,1,"sekelas pemerintah aplikasinya begini, kocak. masa ada perubahan jadwal daftar ulang gada konfirmasi...",['Other_Issues'],[],1
141,1,aplikasi gajelas ga bermanfaat disuruh isi kode otp malah ga nonggol yang ada malah kena pelanggaran...,['Other_Issues'],[],1
142,1,"aplikasi cacat,unfaedah. aktivasi akun sudah puluhan kali minta kode otp tp ga masuk2,udah ganti2 no...","['Login_Authentication', 'Installation_Update']","['masuk', 'akun', 'download']",2
143,1,"ini gimana yah,,udah saya dowload masih gk mau terebuka diminta update udah saya update jgk masih le...","['Performance_Speed', 'Crashes_Errors', 'Installation_Update']","['lag', 'rusak', 'update']",3
144,1,"ini aplikasi gak ada manfaatnya,bukan mempermudah malah seperti di persulit proses claim jkp syarat2...",['Features_Functionality'],['gak ada'],1
145,1,"aplikasi jelek, nyusahin. isi data gak bisa. bolak balik blank (layar putih). disuruh download tapi ...","['Features_Functionality', 'Data_Sync', 'Installation_Update']","['fungsi', 'data', 'download']",3
146,1,"mau ditunggu sampai kapanpun gak ada kode otp, alhasil layanan diapk nya tidak bisa dimanfaatin. kar...","['Login_Authentication', 'Features_Functionality']","['akun', 'gak ada']",2
147,1,"parah, masa udah download apk malah di alihkan ke web apalagi sertihub sama skillhub sama sekali gak...","['Performance_Speed', 'Network_Connection', 'Installation_Update']","['lag', 'sinyal', 'download']",3
148,1,"nomor telepon sudah diganti tapi di bukti pendaftaran pelatihan nomor telepon masih yg dulu, nomor y...",['Crashes_Errors'],['bug'],1
149,1,"sekelas app yg di handle oleh pemerintah dan dengan mengeluarkan biaya yang cukup banyak, harusnya a...","['Performance_Speed', 'Crashes_Errors']","['lag', 'error']",2
150,1,"kalau web atau aplikasi milik pemerintah indonesia itu , loading nya parah,dan sering eror,asli sump...",['Performance_Speed'],['loading'],1
151,1,"ini tolong pihak it kemenaker mengecek , masa di profil edit biodata tidak bisa mengubah nomor telep...",['Data_Sync'],['data'],1
152,1,"siapa sih yg buat aplikasi abal2 kayak gini, masa aplikasi tapi pas apa2 di klik lari nya ke website...","['Performance_Speed', 'Network_Connection']","['loading', 'lag', 'sinyal']",2
153,1,"disuruh daftar pke apk, kode otp gk nongol di email dn nomer hp yg terdaftar, gmn bs verifikasi akun...",['Login_Authentication'],['akun'],1
154,1,"aplikasi sampah nggak berguna, aplikasi nggak sampai 100mb nggak bisa dibuka diram 2gb, giliran dibu...",['Login_Authentication'],['masuk'],1
155,1,"bukannya mempermudah malah lebih mempersulit. tolonglah ini aplikasi pemerintah loh, dibayar pake pa...","['Login_Authentication', 'Payment_Transaction']","['masuk', 'bayar']",2
156,1,"gni amat yha klo pemerintah buat aplikasi, cmn mentingin cuannya, saya lupa password pas mau d reset...",['Login_Authentication'],"['password', 'lupa password']",1
157,1,"gimana login nya ini, email sama pasword salah terus, ngirim verifikasi katanya udh terkirim tapi di...","['Login_Authentication', 'Performance_Speed', 'Features_Functionality']","['login', 'lag', 'tidak ada']",3
