score,user,message,date,thumbs_up,reply_content
5,Lia,"Nyari lowongan kerja memang sulit, tapi dengan siapkerja ga perlu pusing lagi. Ada banyak lowongan yang tersedia, terima kasih siapkerja.",2022-12-21 17:09:14,0,
5,Reva Juliawati,"Aplikasinya membantu bangett, pas buat aku yg lagi cari lowongan pekerjaan. Makasih SIAPkerja buat info lokernya",2023-01-17 02:59:35,0,
5,Ilham Aa,"SIAPkerja ngebantu banget buat aku mahasiswi dapetin informasi pekerjaan, magang dan nyediain pelatihan juga buat ningkatin skill aku. Terima kasih SIAPkerja",2023-01-08 09:12:34,0,
5,Safan Parna Ramadandra,"Aplikasi ini sangat membantu memberikan saya informasi seputar pekerjaan, design juga simple dan minimalis namun sangat menarik, aplikasi juga sangat mudah digunakan",2023-01-18 08:16:21,2,
5,Murni,terimakasih info lowongannya.. membantu banget untuk aku yang belum punya kerjaan..pokoknya terthe best ini soalnya saya kemarin blum kerja allhamdulilah udah ada bantuan cari lowongan,2023-01-17 06:12:50,0,
5,cesalia intan,"Wahhh sangat membantu sekali aplikasi ini untuk aku yang belom kerja, apk sangat mudah di pakai dan sangat rekomendasi. Terimakasih",2023-01-16 10:11:42,0,
5,Novi Estika,"Wah makasi banget buat app SIAPkerja, sangat membantu buat nyari info pekerjaan buat aku yg masih fresh graduate ini.",2023-01-18 04:10:32,0,
5,endah Setyowati,Aplikasinya sangat bagus bisa memadai orang orang buat mencari pekerjaan dengan fitur2 yang sangatt menarikk,2023-01-05 07:03:30,1,
5,Aspa Fallen,"Aplikasinya sangat bermanfaat, memberi informasi lowongan pekerjaan, berguna sekali untuk yang sedang butuh",2023-01-05 13:04:59,0,
5,Ilham Nur Hakim,"Apknya bagus bagett, bisa cari"" lowongan kerja buat yang pengangguran dan banyak banget manfaatnya yang sangat membantu!!",2023-01-24 11:49:01,4,
5,Sera Maureen,"aplikasi nya bagus, ada fasilitas yg support buat orang' yg lagi cari lowongan kerja, ad pelatihan kerja nya juga",2023-01-06 09:13:06,0,
